time,FLOW
2013-05-16,0.0152
2013-05-17,0.0141
2013-05-18,0.017
2013-05-19,0.0186
2013-05-20,0.0413
2013-05-21,0.0278
2013-05-22,0.0207
2013-05-23,0.0195
2013-05-24,0.0194
2013-05-25,0.0164
2013-05-26,0.0151
2013-05-27,0.0142
2013-05-28,0.0141
2013-05-29,0.014
2013-05-30,0.0132
2013-05-31,0.0142
2013-06-01,0.0136
2013-06-02,0.0169
2013-06-03,0.0159
2013-06-04,0.0136
2013-06-05,0.0123
2013-06-06,0.0486
2013-06-07,0.0498
2013-06-08,0.0358
2013-06-09,0.0251
2013-06-10,0.0272
2013-06-11,0.0292
2013-06-12,0.0239
2013-06-13,0.0221
2013-06-14,0.0189
2013-06-15,0.0162
2013-06-16,0.015
2013-06-17,0.0152
2013-06-18,0.0171
2013-06-19,0.0155
2013-06-20,0.0138
2013-06-21,0.0129
2013-06-22,0.0126
2013-06-23,0.0123
2013-06-24,0.0118
2013-06-25,0.0115
2013-06-26,0.0149
2013-06-27,0.0132
2013-06-28,0.0122
2013-06-29,0.0107
2013-06-30,0.0119
2013-07-01,0.0109
2013-07-02,0.0296
2013-07-03,0.0788
2013-07-04,0.0965
2013-07-05,0.0649
2013-07-06,0.0394
2013-07-07,0.0304
2013-07-08,0.0275
2013-07-09,0.0228
2013-07-10,0.0555
2013-07-11,0.0909
2013-07-12,0.0593
2013-07-13,0.0427
2013-07-14,0.0448
2013-07-15,0.0358
2013-07-16,0.0301
2013-07-17,0.0269
2013-07-18,0.0251
2013-07-19,0.0236
2013-07-20,0.0224
2013-07-21,0.0219
2013-07-22,0.0212
2013-07-23,0.0201
2013-07-24,0.0187
2013-07-25,0.0173
2013-07-26,0.0164
2013-07-27,0.0175
2013-07-28,0.0173
2013-07-29,0.0156
2013-07-30,0.0143
2013-07-31,0.0136
2013-08-01,0.0151
2013-08-02,0.0137
2013-08-03,0.0128
2013-08-04,0.0126
2013-08-05,0.0113
2013-08-06,0.0118
2013-08-07,0.0124
2013-08-08,0.0193
2013-08-09,0.0186
2013-08-10,0.0138
2013-08-11,0.0135
2013-08-12,0.0152
2013-08-13,0.0131
2013-08-14,0.0119
2013-08-15,0.0103
2013-08-16,0.0101
2013-08-17,0.0101
2013-08-18,0.0192
2013-08-19,0.0146
2013-08-20,0.0125
2013-08-21,0.0112
2013-08-22,0.0114
2013-08-23,0.0102
2013-08-24,0.0098
2013-08-25,0.0089
2013-08-26,0.0086
2013-08-27,0.0089
2013-08-28,0.0094
2013-08-29,0.0093
2013-08-30,0.0082
2013-08-31,0.0088
2013-09-01,0.0087
2013-09-02,0.0084
2013-09-03,0.0078
2013-09-04,0.007
2013-09-05,0.0069
2013-09-06,0.0063
2013-09-07,0.0062
2013-09-08,0.0065
2013-09-09,0.0063
2013-09-10,0.01
2013-09-11,0.0235
2013-09-12,0.0226
2013-09-13,0.0211
2013-09-14,0.0208
2013-09-15,0.0204
2013-09-16,0.0206
2013-09-17,0.0204
2013-09-18,0.0198
2013-09-19,0.0198
2013-09-20,0.0214
2013-09-21,0.0236
2013-09-22,0.0235
2013-09-23,0.021
2013-09-24,0.02
2013-09-25,0.02
2013-09-26,0.0202
2013-09-27,0.0199
2013-09-28,0.019
2013-09-29,0.0193
2013-09-30,0.0187
2013-10-01,0.0185
2013-10-02,0.0185
2013-10-03,0.0181
2013-10-04,0.0179
2013-10-05,0.018
2013-10-06,0.0171
2013-10-07,0.0285
2013-10-08,0.0203
2013-10-09,0.0184
2013-10-10,0.0206
2013-10-11,0.0197
2013-10-12,0.0192
2013-10-13,0.0186
2013-10-14,0.0189
2013-10-15,0.0179
2013-10-16,0.0175
2013-10-17,0.0172
2013-10-18,0.0179
2013-10-19,0.0167
2013-10-20,0.0171
2013-10-21,0.0167
2013-10-22,0.0163
2013-10-23,0.0176
2013-10-24,0.0178
2013-10-25,0.0179
2013-10-26,0.0172
2013-10-27,0.017
2013-10-28,0.0174
2013-10-29,0.0169
2013-10-30,0.0166
2013-10-31,0.016
2013-11-01,0.0172
2013-11-02,0.0181
2013-11-03,0.0193
2013-11-04,0.019
2013-11-05,0.0185
2013-11-06,0.0177
2013-11-07,0.0189
2013-11-08,0.0203
2013-11-09,0.0199
2013-11-10,0.0196
2013-11-11,0.0201
2013-11-12,0.0205
2013-11-13,0.0218
2013-11-14,0.0203
2013-11-15,0.02
2013-11-16,0.0234
2013-11-17,0.0198
2013-11-18,0.0221
2013-11-19,0.0225
2013-11-20,0.0214
2013-11-21,0.0204
2013-11-22,0.0194
2013-11-23,0.0212
2013-11-24,0.0231
2013-11-25,0.0219
2013-11-26,0.0279
2013-11-27,0.0474
2013-11-28,0.0268
2013-11-29,0.0215
2013-11-30,0.0193
2013-12-01,0.0189
2013-12-02,0.0182
2013-12-03,0.0183
2013-12-04,0.0176
2013-12-05,0.0169
2013-12-06,0.0191
2013-12-07,0.0331
2013-12-08,0.0249
2013-12-09,0.0252
2013-12-10,0.0302
2013-12-11,0.028
2013-12-12,0.0242
2013-12-13,0.0218
2013-12-14,0.0209
2013-12-15,0.022
2013-12-16,0.0209
2013-12-17,0.0196
2013-12-18,0.0208
2013-12-19,0.0192
2013-12-20,0.0184
2013-12-21,0.0184
2013-12-22,0.0189
2013-12-23,0.0408
2013-12-24,0.0343
2013-12-25,0.0271
2013-12-26,0.0234
2013-12-27,0.0218
2013-12-28,0.0206
2013-12-29,0.034
2013-12-30,0.0344
2013-12-31,0.0279
2014-01-01,0.0247
2014-01-02,0.0224
2014-01-03,0.0264
2014-01-04,0.023
2014-01-05,0.0215
2014-01-06,0.0227
2014-01-07,0.0409
2014-01-08,0.0346
2014-01-09,0.0214
2014-01-10,0.0215
2014-01-11,0.0303
2014-01-12,0.0365
2014-01-13,0.029
2014-01-14,0.0262
2014-01-15,0.0257
2014-01-16,0.0249
2014-01-17,0.0237
2014-01-18,0.0243
2014-01-19,0.0231
2014-01-20,0.0222
2014-01-21,0.0217
2014-01-22,0.0262
2014-01-23,0.0263
2014-01-24,0.0495
2014-01-25,0.0435
2014-01-26,0.0226
2014-01-27,0.0218
2014-01-28,0.0249
2014-01-29,0.025
2014-01-30,0.03
2014-01-31,0.0213
2014-02-01,0.02
2014-02-02,0.0195
2014-02-03,0.0402
2014-02-04,0.0347
2014-02-05,0.0281
2014-02-06,0.0273
2014-02-07,0.0248
2014-02-08,0.0238
2014-02-09,0.0231
2014-02-10,0.023
2014-02-11,0.0229
2014-02-12,0.0249
2014-02-13,0.0794
2014-02-14,0.0317
2014-02-15,0.0241
2014-02-16,0.0233
2014-02-17,0.0217
2014-02-18,0.0218
2014-02-19,0.0269
2014-02-20,0.032
2014-02-21,0.0465
2014-02-22,0.0432
2014-02-23,0.0331
2014-02-24,0.0292
2014-02-25,0.027
2014-02-26,0.0265
2014-02-27,0.0264
2014-02-28,0.0251
2014-03-01,0.0238
2014-03-02,0.0235
2014-03-03,0.0348
2014-03-04,0.0327
2014-03-05,0.0288
2014-03-06,0.0267
2014-03-07,0.0269
2014-03-08,0.021
2014-03-09,0.013
2014-03-10,0.0125
2014-03-11,0.0124
2014-03-12,0.0123
2014-03-13,0.0133
2014-03-14,0.0113
2014-03-15,0.0105
2014-03-16,0.011
2014-03-17,0.0123
2014-03-18,0.012
